city,N,dist,improver,strategy,cf,sl_var,acceptance,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Figueira da Foz,350,Empirical,CLS,LA,,,custom,ACO_HH,9.0,35642.0,2906.0,28.999999999999993,4269.7399,8.347581078650716,31363.2601,16534.495499999997,564.4711053840001,16
Figueira da Foz,350,Empirical,CLS,LA,,,custom_bmc,ALNS,4.0,37400.5,4233.0,8.499999999999993,5122.044499999999,7.3018694000022855,32274.4555,16708.62735,972.142214159001,16
Figueira da Foz,350,Empirical,CLS,LA,,,custom,BPC,11.0,35153.0,2094.0,24.999999999999993,3721.515,9.445884270250154,31420.485,16797.291100000002,1298.6296221569937,16
Figueira da Foz,350,Empirical,CLS,LA,,,custom_oi,HGS,16.0,33839.5,2210.0,26.999999999999993,8511.115399999999,3.975918362004586,25312.3846,11241.000750000001,2525.5572495740053,19
Figueira da Foz,350,Empirical,CLS,LA,,,custom,PG-CLNS,4.0,37171.0,4106.0,8.499999999999993,4669.916500000001,7.959671227526229,32497.0835,17026.7962,2247.627429872009,16
Figueira da Foz,350,Empirical,CLS,LA,,,bmc,PSOMA,4.0,37160.5,3392.0,8.499999999999993,7958.149600000001,4.669490003052971,29198.3504,13732.434249999998,1042.529898179011,16
Figueira da Foz,350,Empirical,CLS,LA,,,new,SANS,5.0,36216.5,5487.0,10.999999999999993,5829.8119,6.2122930587177265,30381.6881,15309.759149999998,3961.5755311019893,16
Figueira da Foz,350,Empirical,CLS,LA,,,gurobi,SWC-TCF,4.0,36635.5,3239.0,2.0,7254.508,5.050032338512826,29376.992,14129.633349999996,1062.9786084740044,17
Figueira da Foz,350,Empirical,FTSP,LA,,,custom,ACO_HH,7.0,35562.0,2825.0,26.999999999999993,4834.5694,7.355774021984253,30720.4306,15922.969999999998,561.3156573979941,16
Figueira da Foz,350,Empirical,FTSP,LA,,,custom_bmc,ALNS,4.0,37498.0,4276.0,8.499999999999993,5922.429900000001,6.331522809581924,31571.570099999997,15965.152699999999,1008.6055215810047,16
Figueira da Foz,350,Empirical,FTSP,LA,,,custom,BPC,11.0,35153.0,2094.0,24.999999999999993,4158.2952000000005,8.45370477786185,30983.7048,16360.5109,1351.0842056769907,16
Figueira da Foz,350,Empirical,FTSP,LA,,,custom_oi,HGS,16.0,33839.5,2210.0,26.999999999999993,5200.3799,6.507120758619962,28623.1201,14551.736250000002,2605.784449180006,19
Figueira da Foz,350,Empirical,FTSP,LA,,,custom,PG-CLNS,4.0,37171.0,4106.0,8.499999999999993,5546.061999999999,6.702233043914765,31620.938000000002,16150.6507,2341.732786823006,16
Figueira da Foz,350,Empirical,FTSP,LA,,,bmc,PSOMA,6.0,37059.5,3473.0,16.999999999999993,5563.378100000001,6.661330460354653,31490.1219,16068.252050000003,1094.722600248002,16
Figueira da Foz,350,Empirical,FTSP,LA,,,new,SANS,5.0,36216.5,5487.0,10.999999999999993,6856.8365,5.281808892482706,29354.6635,14282.73455,4018.9371959749988,16
