city,N,dist,improver,strategy,cf,sl_var,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Figueira da Foz,350,Empirical,CLS,LA,,,BPC,38.0,112198.0,5402.0,86.5,10977.951399999996,10.22030394486899,101182.04860000001,54512.0212,5405.740326759995,46
Figueira da Foz,350,Empirical,CLS,LA,,,PG-CLNS,9.0,112972.0,12196.0,21.499999999999993,14037.2058,8.048040444060456,98925.7942,51904.5506,9502.947957208999,44
Figueira da Foz,350,Empirical,FTSP,LA,,,ACO_HH,29.0,114316.5,7374.0,92.5,14271.1334,8.010330840296119,100016.3666,52455.40765,2427.8300258359995,47
Figueira da Foz,350,Empirical,FTSP,LA,,,BPC,38.0,112198.0,5402.0,86.5,12220.4141,9.181194604526535,99939.5859,53269.5585,5287.896739342003,46
Figueira da Foz,350,Empirical,FTSP,LA,,,SWC-TCF,41.0,111350.0,7360.0,106.0,14248.9857,7.814591322103721,97060.0143,50746.0093,3390.0223343889993,51
Figueira da Foz,350,Empirical,CLS,LM,CF70,,BPC,8.0,114022.0,9354.0,30.0,13067.670199999997,8.72550334182753,100946.3298,53486.97119999998,5776.034947017,48
Figueira da Foz,350,Empirical,CLS,LM,CF70,,HGS,15.0,113038.5,8682.0,45.49999999999999,16608.901599999997,6.805898591150664,96414.5984,49371.670849999995,13729.50544058,89
Figueira da Foz,350,Empirical,CLS,LM,CF70,,PG-CLNS,9.0,114049.0,12788.0,32.5,14324.340099999998,7.96190255214619,99715.6599,52246.0612,10887.464885502995,46
Figueira da Foz,350,Empirical,CLS,LM,CF90,,BPC,63.0,109710.0,5691.0,228.5,10396.474199999997,10.552616001297828,99250.5258,53641.2528,5003.036354407999,44
Figueira da Foz,350,Empirical,CLS,LM,CF90,,HGS,150.0,112214.0,7307.0,538.5,13748.325999999997,8.16201186966326,98315.674,51750.985799999995,12617.598057812,77
Figueira da Foz,350,Empirical,CLS,LM,CF90,,PG-CLNS,47.0,114188.0,10278.0,278.0,12285.465199999999,9.294560534834286,101855.5348,54366.07039999999,7259.010371492001,34
Figueira da Foz,350,Empirical,FTSP,LM,CF70,,BPC,8.0,114022.0,9354.0,30.0,14644.9279,7.785767248468324,99369.0721,51909.71349999999,5081.535064596006,48
Figueira da Foz,350,Empirical,FTSP,LM,CF90,,BPC,63.0,109710.0,5691.0,228.5,11544.1888,9.503482825921905,98102.8112,52493.538199999995,4859.6721304179955,44
Figueira da Foz,350,Empirical,CLS,SL,,SL1,ACO_HH,7.0,113969.0,11279.0,7.5,16036.880099999998,7.106681554599888,97925.1199,50486.82519999999,2751.165237747002,59
Figueira da Foz,350,Empirical,CLS,SL,,SL1,BPC,5.0,114158.0,11107.0,9.5,14815.060200000002,7.705537369331783,99337.9398,51818.9644,4966.3185029259985,57
Figueira da Foz,350,Empirical,CLS,SL,,SL1,PG-CLNS,3.0,114175.5,13682.0,3.5000000000000004,15672.8997,7.2848995518040605,98499.6003,50971.339649999994,9318.482099221997,54
Figueira da Foz,350,Empirical,CLS,SL,,SL1,SANS,5.0,114416.5,18664.0,4.5,19665.229900000002,5.8182131905816155,94746.2701,47119.68115000001,16430.218494850997,54
Figueira da Foz,350,Empirical,CLS,SL,,SL2,ACO_HH,0.0,114202.0,15079.0,0.0,21378.21389999999,5.341980416801801,92823.78610000001,45281.4935,4216.459262550001,90
Figueira da Foz,350,Empirical,CLS,SL,,SL2,BPC,1.0,114181.0,16669.0,0.5,21084.04,5.415518088563672,93095.95999999999,45563.40969999999,7777.285346016004,90
Figueira da Foz,350,Empirical,CLS,SL,,SL2,PG-CLNS,1.0,114399.0,18994.0,0.0,21785.141699999996,5.251239655696158,92612.8583,44989.55459999999,13119.538811892999,89
Figueira da Foz,350,Empirical,CLS,SL,,SL2,SANS,0.0,114484.0,31146.0,0.0,32710.815400000047,3.499882182698504,81773.18459999995,34113.4954,24262.719010087007,89
Figueira da Foz,350,Empirical,FTSP,SL,,SL1,ACO_HH,7.0,113979.0,10556.0,6.0,17664.9472,6.452269497867506,96307.0528,48864.595100000006,2449.3153518109903,57
Figueira da Foz,350,Empirical,FTSP,SL,,SL1,BPC,5.0,114158.0,11107.0,9.5,16667.627699999997,6.849085068056807,97485.3723,49966.3969,4495.528517028986,57
Figueira da Foz,350,Empirical,FTSP,SL,,SL1,PG-CLNS,4.0,114162.0,13740.0,4.0,18494.420700000002,6.17278052942745,95663.5793,48141.9387,7902.382750553006,54
Figueira da Foz,350,Empirical,FTSP,SL,,SL1,PSOMA,4.0,114345.5,10581.0,1.0,17929.1016,6.3776480579484245,96412.3984,48814.36675000001,3657.645827330998,54
Figueira da Foz,350,Empirical,FTSP,SL,,SL2,ACO_HH,0.0,114191.5,15118.0,0.0,24022.638999999996,4.753495234224684,90168.861,42630.93954999999,3965.8412798690115,90
Figueira da Foz,350,Empirical,FTSP,SL,,SL2,BPC,1.0,114181.0,16669.0,0.5,24090.1589,4.739736274632875,90089.8411,42557.290799999995,6782.727466278011,90
Figueira da Foz,350,Empirical,FTSP,SL,,SL2,PG-CLNS,1.0,113898.0,18924.0,0.0,25866.897100000002,4.403233969643773,88030.1029,40615.3655,11675.787016763992,89
Figueira da Foz,350,Empirical,FTSP,SL,,SL2,PSOMA,0.0,114052.0,12813.0,0.0,25113.4178,4.541476628481847,88938.5822,41458.73459999999,5977.345847463002,89
Figueira da Foz,350,Gamma-3,CLS,LA,,,BPC,64.0,217586.0584615455,11277.0,324.3814702266328,21674.165100000006,10.038959169022176,195847.8933615455,105330.81722400407,7335.397633059998,64
Figueira da Foz,350,Gamma-3,CLS,LA,,,PG-CLNS,32.0,216822.58833301795,18807.0,189.81545576292564,21932.1198,9.886075322870429,194858.46853301796,104627.22500998256,9462.889996686998,56
Figueira da Foz,350,Gamma-3,FTSP,LA,,,ACO_HH,36.0,216378.95901426574,14904.0,199.80861657662138,24801.6416,8.724380527064215,191541.31741426574,101498.7567766269,3567.9228515239993,67
Figueira da Foz,350,Gamma-3,FTSP,LA,,,BPC,64.0,217586.0584615455,11277.0,324.3814702266328,23873.480499999994,9.114132246512844,193648.5779615455,103131.5018240041,7440.203449797002,64
Figueira da Foz,350,Gamma-3,FTSP,LA,,,SWC-TCF,23886.0,31164.46722134613,2108.0,170796.55258050025,3810.5418,8.178487169815623,3467.925421346131,14380.157717099735,1893.2167501680015,13
Figueira da Foz,350,Gamma-3,CLS,LM,CF70,,BPC,60.0,216831.52324868,9884.0,276.6656706447592,18937.864400000006,11.449629095912204,197833.65884867997,107626.69572025452,8766.498033195,87
Figueira da Foz,350,Gamma-3,CLS,LM,CF70,,HGS,181.0,215703.7551420298,10221.0,955.5786379590941,30871.8698,6.987064811410606,184650.8853420298,95034.41207640282,15077.520041331998,90
Figueira da Foz,350,Gamma-3,CLS,LM,CF70,,PG-CLNS,27.0,219305.1658693148,20604.0,124.3071581655412,23298.001700000004,9.413046178519025,195980.1641693148,104710.42361791909,10906.75637404,62
Figueira da Foz,350,Gamma-3,CLS,LM,CF90,,BPC,238.0,214980.2123250539,6501.0,1323.4014131017784,16471.502999999997,13.051645154971828,198270.7093250539,109012.44693413396,8415.014009443003,86
Figueira da Foz,350,Gamma-3,CLS,LM,CF90,,HGS,634.0,212542.16121794732,9685.0,3650.7313353211334,23943.1253,8.87695981852241,187965.0359179473,100117.73420291586,13487.403720837996,89
Figueira da Foz,350,Gamma-3,CLS,LM,CF90,,PG-CLNS,75.0,218995.60599193381,15456.0,449.5915384925615,19290.327199999996,11.352612307785732,199630.27879193382,108537.40801749176,7387.894174340996,45
Figueira da Foz,350,Gamma-3,FTSP,LM,CF70,,BPC,60.0,216831.52324868,9884.0,276.6656706447592,21042.761000000002,10.304328564520596,195728.76224868,105521.79912025447,8751.057836494998,87
Figueira da Foz,350,Gamma-3,FTSP,LM,CF90,,BPC,238.0,214980.2123250539,6501.0,1323.4014131017784,18122.694399999993,11.862486205420646,196619.5179250539,107361.255534134,8737.373350375994,86
Figueira da Foz,350,Gamma-3,CLS,SL,,SL1,ACO_HH,31.0,217222.06987590322,16104.0,141.16903716688847,23820.215000000004,9.119232125986402,193370.85487590323,102972.30718656468,3300.030529827003,86
Figueira da Foz,350,Gamma-3,CLS,SL,,SL1,BPC,26.0,216828.17901146057,12530.0,125.88607372471381,20587.6185,10.531969931901573,196214.56051146056,105974.98958898954,7671.019288604999,87
